chinese,pinyin,english,thai
防雷/接地,fáng léi / jiē dì,Lightning Protection / Grounding,ระบบป้องกันฟ้าผ่าและสายดิน
防雷验电穿刺接地环,fáng léi yàn diàn chuān cì jiē dì huán,Lightning-Protection Piercing Grounding Ring Tester,อุปกรณ์ตรวจวัดและต่อกราวด์ป้องกันฟ้าผ่าแบบเจาะสาย
危险区域,wēi xiǎn qū yù,Line of Fire / Danger Zone,พื้นที่อันตราย (danger zone)
液化石油气,yè huà shí yóu qì,Liquefied Petroleum Gas (LPG),แก๊สปิโตรเลียมเหลว (LPG)
液体泄漏,yè tǐ xiè lòu,Liquid Spill,การรั่วไหลของของเหลว
带电配电盘,dài diàn pèi diàn pán,Live Panel Board,แผงจ่ายไฟที่มีกระแสไฟฟ้าอยู่
负载存储位置,fù zài cún chǔ wèi zhì,Load Storage Location,ตำแหน่งจัดเก็บสิ่งของที่ยก
负载容积,fù zài róng jī,Load Volume,ปริมาตรของที่บรรทุก
负重载荷,fù zhòng zài hè,Load Weight,น้ำหนักบรรทุก
当地法规和规范,dāng dì fǎ guī hé guī fàn,Local Laws and Standards,กฎหมายและมาตรฐานท้องถิ่น
物流,wù liú,Logistics,โลจิสติกส์ (logistics)
接线松动,jiē xiàn sōng dòng,Loose Connection,จุดต่อสายหลวม
失去平衡/被拖住/被夹住,shī qù píng héng / bèi tuō zhù / bèi jiā zhù,"Loss of Balance / Traction / Grip, Caught In or Between",เสียการทรงตัว / ถูกดึงหรือติดหนีบ
机械安全,jī xiè ān quán,Machine Safety,ความปลอดภัยเกี่ยวกับเครื่องจักร
搬运/负重安全,bān yùn / fù zhòng ān quán,Manual Handling / Load-Bearing Safety,ความปลอดภัยในการยกและแบกของหนัก
体力搬运重量限值,tǐ lì bān yùn zhòng liàng xiàn zhí,Manual Handling Weight Limit,น้ำหนักสูงสุดที่อนุญาตให้ยกด้วยแรงคน
人力搬运安全,rén lì bān yùn ān quán,Manual Material Handling Safety,ความปลอดภัยในการยกของด้วยแรงคน
辅助搬运设备,fǔ zhù bān yùn shè bèi,Material Handling Aid Equipment,อุปกรณ์ช่วยยกและเคลื่อนย้าย
机械事故,jī xiè shì gù,Mechanical Accident,อุบัติเหตุจากเครื่องจักร
精神病,jīng shén bìng,Mental Illness,โรคทางจิตเวช
金属屑,jīn shǔ xiè,Metal Shavings / Debris,เศษโลหะ
金属火花和飞屑,jīn shǔ huǒ huā hé fēi xiè,Metal Sparks and Spatter,ประกายไฟและเศษโลหะกระเด็น
心不在焉,xīn bù zài yān,Mind Not on Task,ใจไม่จดจ่อกับงาน
轻伤,qīng shāng,Minor Injury,บาดเจ็บเล็กน้อย
禁烟政策,jìn yān zhèng cè,No Smoking Policy,นโยบายห้ามสูบบุหรี่
无伤害事故,wú shāng hài shì gù,No-Injury Incident,อุบัติเหตุที่ไม่มีผู้บาดเจ็บ
职业病,zhí yè bìng,Occupational Disease,โรคจากการประกอบอาชีพ
职业病隐患,zhí yè bìng yǐn huàn,Occupational Disease Hazard,ปัจจัยเสี่ยงต่อโรคจากการทำงาน
职业健康安全管理体系,zhí yè jiàn kāng ān quán guǎn lǐ tǐ xì,Occupational Health and Safety Management System,ระบบบริหารจัดการอาชีวอนามัยและความปลอดภัย
运行、维护、安装、检修、改造、施工、调试,"yùn xíng, wéi hù, ān zhuāng, jiǎn xiū, gǎi zào, shī gōng, tiáo shì","Operation, Maintenance, Installation, Repair, Modification, Construction, Commissioning",การเดินระบบ บำรุงรักษา ติดตั้ง ซ่อมแซม ปรับปรุง ก่อสร้าง และทดสอบระบบ
操作工安全,cāo zuò gōng ān quán,Operator Safety,ความปลอดภัยของผู้ปฏิบัติงาน
露天焊接作业,lù tiān hàn jiē zuò yè,Outdoor Welding Operation,งานเชื่อมกลางแจ้ง
氧气瓶,yǎng qì píng,Oxygen Cylinder,ถังออกซิเจน
氧气胶管,yǎng qì jiāo guǎn,Oxygen Hose,สายยางออกซิเจน
包装物,bāo zhuāng wù,Packaging / Package,บรรจุภัณฑ์
感知电流,gǎn zhī diàn liú,Perception Current,กระแสไฟฟ้าที่เริ่มรู้สึกได้
人身安全,rén shēn ān quán,Personal Safety,ความปลอดภัยส่วนบุคคล
人员资质,rén yuán zī zhì,Personnel Qualification,คุณสมบัติของบุคลากร
人员安全,rén yuán ān quán,Personnel Safety,ความปลอดภัยของบุคลากร
生理缺陷,shēng lǐ quē xiàn,Physical Impairment,ความบกพร่องทางร่างกาย
中毒,zhòng dú,Poisoning / Toxic Exposure,การได้รับพิษ
手提照明灯,shǒu tí zhào míng dēng,Portable / Hand-Held Lamp,โคมไฟส่องสว่างแบบมือถือ
停电,tíng diàn,Power Shutdown / De-Energizing,การตัดไฟ (de-energize)
中华人民共和国国家标准 GB 12330-90,zhōng huá rén mín gòng hé guó guó jiā biāo zhǔn GB yī èr sān sān líng jiǔ líng,PRC National Standard GB 12330-90,มาตรฐานแห่งชาติจีน GB 12330-90
工作前检查工器具,gōng zuò qián jiǎn chá gōng qì jù,Pre-work Tool Inspection,ตรวจสอบเครื่องมือก่อนเริ่มงาน
预防管理机制,yù fáng guǎn lǐ jī zhì,Preventive Management Mechanism,กลไกการบริหารจัดการเชิงป้องกัน
保护接地,bǎo hù jiē dì,Protective Earthing (Grounding),การต่อกราวด์เพื่อป้องกัน
防护手段,fáng hù shǒu duàn,Protective Measures,มาตรการป้องกัน
保护接零,bǎo hù jiē líng,Protective Neutral Bonding (PEN),การต่อสายศูนย์เพื่อป้องกัน (PEN)
防护工作,fáng hù gōng zuò,Protective Work,งานด้านการป้องกัน
资质和培训,zī zhì hé péi xùn,Qualification and Training,คุณสมบัติและการฝึกอบรม
风险,fēng xiǎn,Risk,ความเสี่ยง
风险评估,fēng xiǎn píng gū,Risk Assessment,การประเมินความเสี่ยง
危险系数,wēi xiǎn xì shù,Risk Factor,ปัจจัยความเสี่ยง
识别风险,shí bié fēng xiǎn,Risk Identification,การระบุความเสี่ยง
风险减少措施,fēng xiǎn jiǎn shǎo cuò shī,Risk Reduction Measures,มาตรการลดความเสี่ยง
违章行为,wéi zhāng xíng wéi,Rule Violation / Non-Compliant Behavior,พฤติกรรมฝ่าฝืนกฎระเบียบ
匆忙,cōng máng,Rushing / Hurry,การรีบเร่ง
安全电流,ān quán diàn liú,Safe Current,กระแสไฟฟ้าระดับปลอดภัย
安全用电知识,ān quán yòng diàn zhī shí,Safe Electricity Use Knowledge,ความรู้เรื่องการใช้ไฟฟ้าอย่างปลอดภัย
安全运行,ān quán yùn xíng,Safe Operation,การดำเนินงานอย่างปลอดภัย
安全工频电压,ān quán gōng pín diàn yā,Safe Power-Frequency Voltage,แรงดันไฟฟ้าความถี่ใช้งานที่ปลอดภัย
安全,ān quán,Safety,ความปลอดภัย
安全事故,ān quán shì gù,Safety Accident,อุบัติเหตุด้านความปลอดภัย
安全距离,ān quán jù lí,Safety Clearance Distance,ระยะห่างปลอดภัย
安全情况,ān quán qíng kuàng,Safety Condition,สภาวะความปลอดภัย
安全注意事项,ān quán zhù yì shì xiàng,Safety Precautions,ข้อควรระวังด้านความปลอดภัย
安全培训,ān quán péi xùn,Safety Training,การฝึกอบรมด้านความปลอดภัย
安全电压法,ān quán diàn yā fǎ,Safety Voltage Method,วิธีการใช้แรงดันไฟฟ้าปลอดภัย
烫伤,tàng shāng,Scald Injury,แผลลวก
二次事故,èr cì shì gù,Secondary Accident,อุบัติเหตุซ้ำซ้อน
抗震能力,kàng zhèn néng lì,Seismic Capability,ความสามารถในการต้านแผ่นดินไหว
重伤事故,zhòng shāng shì gù,Serious Injury Accident,อุบัติเหตุบาดเจ็บสาหัส
有效使用期,yǒu xiào shǐ yòng qī,Service Validity Period,อายุการใช้งานที่ยังปลอดภัย
短路,duǎn lù,Short Circuit,ไฟฟ้าลัดวงจร (short circuit)
单次重量,dān cì zhòng liàng,Single-Lift Weight,น้ำหนักที่ยกต่อครั้ง
表皮伤害,biǎo pí shāng hài,Skin / Epidermal Injury,การบาดเจ็บที่ผิวหนัง
烟、尘粒,"yān, chén lì","Smoke, Dust Particles",ควันและฝุ่นละออง
铁渣飞溅,tiě zhā fēi jiàn,Spatter / Flying Slag,สะเก็ดไฟกระเด็น
扭伤,niǔ shāng,Sprain,ข้อเคล็ด
人员配置水平,rén yuán pèi zhì shuǐ píng,Staffing Level,ระดับอัตรากำลังคน
国家安监局,guó jiā ān jiān jú,State Administration of Work Safety,สำนักงานบริหารความปลอดภัยในการทำงานแห่งชาติ (จีน)
突发性昏厥,tū fā xìng hūn jué,Sudden Fainting / Syncope,การเป็นลมหมดสติเฉียบพลัน
雷雨天气,léi yǔ tiān qì,Thunderstorm Weather,สภาพอากาศฝนฟ้าคะนอง
吨米,dūn mǐ,Tonne-Metre (unit),หน่วยตัน-เมตร
接触电压限值,jiē chù diàn yā xiàn zhí,Touch Voltage Limit,ค่าจำกัดแรงดันไฟฟ้าที่สัมผัสได้
铁塔工程安装,tiě tǎ gōng chéng ān zhuāng,Tower Installation Work,งานติดตั้งเสาโครงเหล็ก (tower)
过渡段,guò dù duàn,Transition Point (for load grip change),จุดเปลี่ยนท่าจับสิ่งของ
垃圾桶,lā jī tǒng,Trash Receptacle,ถังขยะ
统一建筑规范,tǒng yī jiàn zhù guī fàn,UBC (Universal Building Code),มาตรฐานอาคาร UBC
不安全行为,bù ān quán xíng wéi,Unsafe Act,พฤติกรรมที่ไม่ปลอดภัย
心室颤动,xīn shì chàn dòng,Ventricular Fibrillation,หัวใจห้องล่างเต้นสั่นพลิ้ว
验电器,yàn diàn qì,Voltage Detector / Voltage Tester,เครื่องตรวจวัดแรงดันไฟฟ้า
验电,yàn diàn,Voltage Testing (verify de-energized),การตรวจสอบไฟฟ้าก่อนทำงาน
标识牌和遮拦,biāo shí pái hé zhē lán,Warning Tags & Barriers,ป้ายเตือนและแผงกั้น
焊工证,hàn gōng zhèng,Welder Certificate,ใบรับรองช่างเชื่อม
焊工操作证,hàn gōng cāo zuò zhèng,Welder Operation Permit,ใบอนุญาตปฏิบัติงานช่างเชื่อม
把线,bǎ xiàn,Welding Cable (ground/lead line),สายเคเบิลเชื่อม
焊条,hàn tiáo,Welding Electrode / Rod,ลวดเชื่อม (welding electrode)
焊钳,hàn qián,Welding Electrode Holder / Clamp,คีมจับลวดเชื่อม
施焊,shī hàn,Welding Operation,การปฏิบัติงานเชื่อม
焊接或热切割,hàn jiē huò rè qiē gē,Welding or Thermal Cutting,งานเชื่อมหรือตัดด้วยความร้อน
焊接安全,hàn jiē ān quán,Welding Safety,ความปลอดภัยในการเชื่อม (welding)
焊渣,hàn zhā,Welding Slag,ตะกรันเชื่อม
挡风装置,dǎng fēng zhuāng zhì,Wind Shield Device,อุปกรณ์กันลม
高处作业,gāo chù zuò yè,Work at Height,งานที่ปฏิบัติในที่สูง
工伤,gōng shāng,Work Injury,การบาดเจ็บจากการทำงาน
接触低温物质作业,jiē chù dī wēn wù zhì zuò yè,Work Involving Contact with Low-Temperature Substances,งานที่ต้องสัมผัสสารอุณหภูมิต่ำ
接触锋利器具作业,jiē chù fēng lì qì jù zuò yè,Work Involving Contact with Sharp Tools,งานที่ต้องสัมผัสเครื่องมือมีคม
沾染性毒物作业,zhān rǎn xìng dú wù zuò yè,Work Involving Toxic Contamination,งานที่มีความเสี่ยงสัมผัสสารพิษ
工作监护制,gōng zuò jiān hù zhì,Work Supervision / Watch System,ระบบผู้ควบคุมงานเฝ้าดู
从业人员精神状态影响事故概率,cóng yè rén yuán jīng shén zhuàng tài yǐng xiǎng shì gù gài lǜ,Worker Mental State Influences Accident Probability,สภาพจิตใจของผู้ปฏิบัติงานส่งผลต่อโอกาสเกิดอุบัติเหตุ
从业人员的精神状态影响事故发生的概率,cóng yè rén yuán de jīng shén zhuàng tài yǐng xiǎng shì gù fā shēng de gài lǜ,Worker's Mental State Affects the Probability of Accidents,สภาพจิตใจของผู้ปฏิบัติงานมีผลต่อโอกาสเกิดอุบัติเหตุ
四级地震区,sì jí dì zhèn qū,Zone-4 Seismic Region,พื้นที่เสี่ยงแผ่นดินไหวโซน 4
防酸(碱)服,fáng suān (jiǎn) fú,Acid/Alkali Protective Suit,ชุดป้องกันกรด/ด่าง
耐酸碱手套,nài suān jiǎn shǒu tào,Acid/Alkali-Resistant Gloves,ถุงมือทนกรดด่าง
耐酸碱鞋,nài suān jiǎn xié,Acid/Alkali-Resistant Shoes,รองเท้าทนกรดด่าง
防腐蚀液护目镜,fáng fǔ shí yè hù mù jìng,Anti-Corrosive Liquid Safety Goggles,แว่นตานิรภัยกันสารกัดกร่อน
防冻手套,fáng dòng shǒu tào,Anti-Frost Gloves,ถุงมือกันเยือกแข็ง
防静电地面,fáng jìng diàn dì miàn,Anti-Static (ESD) Flooring,พื้นกันไฟฟ้าสถิต (ESD flooring)
防静电松紧带,fáng jìng diàn sōng jǐn dài,Anti-Static Elastic Band,สายยางยืดกันไฟฟ้าสถิต
防静电手套,fáng jìng diàn shǒu tào,Anti-Static Gloves,ถุงมือกันไฟฟ้าสถิต (anti-static gloves)
防静电措施,fáng jìng diàn cuò shī,Anti-Static Measures / ESD Protection,มาตรการป้องกันไฟฟ้าสถิต (ESD)
防静电鞋,fáng jìng diàn xié,Anti-Static Shoes,รองเท้าป้องกันไฟฟ้าสถิต
防静电鞋/袜,fáng jìng diàn xié / wà,Anti-Static Shoes / Socks,รองเท้า/ถุงเท้ากันไฟฟ้าสถิต
防静电工帽,fáng jìng diàn gōng mào,Anti-Static Work Cap,หมวกทำงานป้องกันไฟฟ้าสถิต
防静电工作服,fáng jìng diàn gōng zuò fú,Anti-Static Work Clothing,ชุดทำงานกันไฟฟ้าสถิต (anti-static)
防静电腕带,fáng jìng diàn wàn dài,Anti-Static Wrist Strap,สายรัดข้อมือกันไฟฟ้าสถิต (anti-static wrist strap)
化学品防护服,huà xué pǐn fáng hù fú,Chemical Protective Clothing,ชุดป้องกันสารเคมี
防化学手套,fáng huà xué shǒu tào,Chemical-Resistant Gloves,ถุงมือกันสารเคมี
防化学品鞋,fáng huà xué pǐn xié,Chemical-Resistant Shoes,รองเท้ากันสารเคมี
防寒手套,fáng hán shǒu tào,Cold-Protection Gloves,ถุงมือกันหนาว
耐寒手套,nài hán shǒu tào,Cold-Resistant Gloves,ถุงมือทนความเย็น
防寒服,fáng hán fú,Cold-Weather Protective Clothing,ชุดกันหนาว
棉纱手套,mián shā shǒu tào,Cotton Gloves,ถุงมือผ้าฝ้าย
防割手套,fáng gē shǒu tào,Cut-Resistant Gloves,ถุงมือกันบาด
专用绝缘工具,zhuān yòng jué yuán gōng jù,Dedicated Insulated Tools,เครื่องมือฉนวนสำหรับใช้เฉพาะงาน
电绝缘鞋,diàn jué yuán xié,Electrically Insulating Shoes,รองเท้าฉนวนกันไฟฟ้า
眼面部防护,yǎn miàn bù fáng hù,Eye and Face Protection,การป้องกันดวงตาและใบหน้า
眼睛保护装置,yǎn jīng bǎo hù zhuāng zhì,Eye Protection Device,อุปกรณ์ป้องกันดวงตา
人体从高处坠落,rén tǐ cóng gāo chù zhuì luò,Fall from Height,การตกจากที่สูง
防坠落防护用品,fáng zhuì luò fáng hù yòng pǐn,Fall Protection Equipment,อุปกรณ์ป้องกันการตกจากที่สูง
指套,zhǐ tào,Finger Cots,ปลอกนิ้ว (finger cots)
足部防护,zú bù fáng hù,Foot Protection,การป้องกันเท้า
足部防护用品,zú bù fáng hù yòng pǐn,Foot Protective Equipment,อุปกรณ์ป้องกันเท้า
防毒面具,fáng dú miàn jù,Gas Mask / Respirator,หน้ากากป้องกันแก๊สพิษ (gas mask)
手部防护,shǒu bù fáng hù,Hand Protection,การป้องกันมือ
手部防护用品,shǒu bù fáng hù yòng pǐn,Hand Protective Equipment,อุปกรณ์ป้องกันมือ
危险和有害因素,wēi xiǎn hé yǒu hài yīn sù,Hazardous and Harmful Factors,ปัจจัยที่เป็นอันตรายและเป็นภัยต่อสุขภาพ
头部防护,tóu bù fáng hù,Head Protection,การป้องกันศีรษะ
耐热耐寒手套,nài rè nài hán shǒu tào,Heat and Cold-Resistant Gloves,ถุงมือทนความร้อนและความเย็น
耐高温手套,nài gāo wēn shǒu tào,Heat-Resistant Gloves,ถุงมือทนความร้อนสูง
耐高温鞋,nài gāo wēn xié,Heat-Resistant Shoes,รองเท้าทนความร้อนสูง
防冲击护目镜,fáng chōng jī hù mù jìng,Impact-Resistant Safety Goggles,แว่นตานิรภัยกันแรงกระแทก
防砸鞋,fáng zá xié,Impact-Resistant Safety Shoes / Steel-Toe Shoes,รองเท้านิรภัยหัวเหล็ก (steel-toe shoes)
绝缘服,jué yuán fú,Insulating Clothing,ชุดฉนวนกันไฟฟ้า
绝缘手套,jué yuán shǒu tào,Insulating Gloves,ถุงมือฉนวนกันไฟฟ้า (insulating gloves)
绝缘鞋,jué yuán xié,Insulating Shoes,รองเท้าฉนวนกันไฟฟ้า
PPE防护简介,PPE fáng hù jiǎn jiè,Introduction to PPE Protection,แนะนำการป้องกันด้วยอุปกรณ์ PPE
劳动防护用品,láo dòng fáng hù yòng pǐn,Labor Protective Equipment,อุปกรณ์ป้องกันภัยแรงงาน
防激光眼镜,fáng jī guāng yǎn jìng,Laser Safety Glasses,แว่นตานิรภัยกันเลเซอร์
带电作业屏蔽服,dài diàn zuò yè píng bì fú,Live-Work Shielding Suit / Conductive Suit,ชุดป้องกันสนามไฟฟ้าสำหรับงานที่มีไฟ (shielding suit)
防机械伤害手套（防割手套）,fáng jī xiè shāng hài shǒu tào,Mechanical Protection Gloves (Cut-Resistant Gloves),ถุงมือป้องกันการบาดเจ็บจากเครื่องจักร (ถุงมือกันบาด)
个人防护用品,gè rén fáng hù yòng pǐn,Personal Protective Equipment (PPE),อุปกรณ์ป้องกันภัยส่วนบุคคล (PPE)
PPE的定义,PPE de dìng yì,PPE Definition,นิยามของ PPE
PPE作用及定义,PPE zuò yòng jí dìng yì,PPE Function and Definition,หน้าที่และคำจำกัดความของ PPE
PPE的作用,PPE de zuò yòng,PPE Purpose / Function,หน้าที่ของ PPE
不同作业场景下PPE使用,bù tóng zuò yè chǎng jǐng xià PPE shǐ yòng,PPE Usage by Work Scenario,การใช้ PPE ตามสถานการณ์งานที่ต่างกัน
产品合格证,chǎn pǐn hé gé zhèng,Product Certificate of Conformity,ใบรับรองสินค้าได้มาตรฐาน
生产许可证,shēng chǎn xǔ kě zhèng,Production License,ใบอนุญาตผลิต
防护服,fáng hù fú,Protective Clothing,ชุดป้องกัน (protective clothing)
防护用品,fáng hù yòng pǐn,Protective Equipment,อุปกรณ์ป้องกัน
防护面罩,fáng hù miàn zhào,Protective Face Shield,หน้ากากป้องกันใบหน้า (face shield)
护具,hù jù,Protective Gear,อุปกรณ์ป้องกันร่างกาย
保护手套,bǎo hù shǒu tào,Protective Gloves,ถุงมือป้องกัน
保护电阻,bǎo hù diàn zǔ,Protective Resistor,ตัวต้านทานป้องกัน
防刺穿鞋,fáng cì chuān xié,Puncture-Resistant Shoes,รองเท้ากันวัสดุแทงทะลุ
橡胶手套,xiàng jiāo shǒu tào,Rubber Gloves,ถุงมือยาง
橡胶防护手套,xiàng jiāo fáng hù shǒu tào,Rubber Protective Gloves,ถุงมือยางป้องกัน
防护眼镜,fáng hù yǎn jìng,Safety Glasses,แว่นตานิรภัย (safety glasses)
护目镜,hù mù jìng,Safety Goggles,แว่นตานิรภัย (safety goggles)
安全带,ān quán dài,Safety Harness / Safety Belt,เข็มขัดนิรภัย / สายรัดนิรภัย (safety harness)
安全头盔,ān quán tóu kuī,Safety Helmet,หมวกนิรภัย
安全帽,ān quán mào,Safety Helmet / Hard Hat,หมวกนิรภัย (safety helmet)
安全标志证（安全鉴定证）,ān quán biāo zhì zhèng,Safety Mark Certificate (Safety Appraisal Certificate),ใบรับรองเครื่องหมายความปลอดภัย
安全网,ān quán wǎng,Safety Net,ตาข่ายนิรภัย (safety net)
特种防护用品,tè zhǒng fáng hù yòng pǐn,Special Protective Equipment,อุปกรณ์ป้องกันภัยชนิดพิเศษ
作业与应使用PPE对照表,zuò yè yǔ yīng shǐ yòng PPE duì zhào biǎo,Task-to-PPE Requirement Table,ตารางเทียบงานกับ PPE ที่ต้องใช้
三证,sān zhèng,"Three Certificates (Production License, Product Certificate, Safety Mark Certificate)",สามใบรับรอง (ใบอนุญาตผลิต ใบรับรองสินค้า ใบรับรองมาตรฐานความปลอดภัย)
焊接面罩,hàn jiē miàn zhào,Welding Face Shield / Welding Mask,หน้ากากเชื่อม (welding mask)
准确,zhǔn què,Accurate,แม่นยำ
适应性/可扩展性,shì yìng xìng / kě kuò zhǎn xìng,Adaptability / Scalability,ความสามารถในการปรับตัวและขยายระบบ
敏捷数据中心,mǐn jié shù jù zhōng xīn,Agile Data Center,ดาต้าเซ็นเตอร์แบบ agile
应用层,yìng yòng céng,Application Layer,ชั้นแอปพลิเคชัน (application layer)
人工智能,rén gōng zhì néng,Artificial Intelligence (AI),ปัญญาประดิษฐ์ (AI)
自动化,zì dòng huà,Automation,ระบบอัตโนมัติ
可用性,kě yòng xìng,Availability,ความพร้อมใช้งาน (availability)
可用性预期,kě yòng xìng yù qī,Availability Expectations,ความคาดหวังด้านความพร้อมใช้งาน
大数据,dà shù jù,Big Data,ข้อมูลขนาดใหญ่ (big data)
构建模块,gòu jiàn mó kuài,Building Blocks,องค์ประกอบพื้นฐาน (building blocks)
业务敏捷性,yè wù mǐn jié xìng,Business Agility,ความคล่องตัวทางธุรกิจ
商业价值,shāng yè jià zhí,Business Value,คุณค่าทางธุรกิจ
关键业务应用,guān jiàn yè wù yìng yòng,Business-Critical Applications,แอปพลิเคชันที่สำคัญต่อธุรกิจ
资本投资,zī běn tóu zī,Capital Investment,การลงทุนด้านทุน (capital investment)
托管服务,tuō guǎn fú wù,Colocation,บริการโคโลเคชั่น (colocation)
托管租户,tuō guǎn zū hù,Colocation Tenant,ผู้เช่าพื้นที่โคโลเคชั่น
兼容性问题,jiān róng xìng wèn tí,Compatibility Issues,ปัญหาความเข้ากันได้
竞争优势,jìng zhēng yōu shì,Competitive Advantage,ความได้เปรียบทางการแข่งขัน
竞争能力,jìng zhēng néng lì,Competitiveness,ความสามารถในการแข่งขัน
全面,quán miàn,Comprehensive,ครอบคลุมทุกด้าน
计算、网络与存储资源,"jì suàn, wǎng luò yǔ cún chǔ zī yuán","Computing, Network, and Storage Resources",ทรัพยากรด้านการประมวลผล เครือข่าย และจัดเก็บข้อมูล
企业名誉,qǐ yè míng yù,Corporate Reputation,ชื่อเสียงขององค์กร
成本,chéng běn,Cost,ต้นทุน
成本效益,chéng běn xiào yì,Cost-Effectiveness,ความคุ้มค่าด้านต้นทุน
手工业思维,shǒu gōng yè sī wéi,Craft Industry Mindset,แนวคิดแบบงานฝีมือดั้งเดิม
定制化系统,dìng zhì huà xì tǒng,Custom-Designed Systems,ระบบที่ออกแบบเฉพาะทาง
数据中心,shù jù zhōng xīn,Data Center,ศูนย์ข้อมูล (data center)
数据中心整合,shù jù zhōng xīn zhěng hé,Data Center Consolidation,การรวมศูนย์ data center
数据中心基础设施,shù jù zhōng xīn jī chǔ shè shī,Data Center Infrastructure,โครงสร้างพื้นฐานดาต้าเซ็นเตอร์
数据中心停机,shù jù zhōng xīn tíng jī,Data Center Shutdown,การหยุดทำงานของดาต้าเซ็นเตอร์
数据处理、存储与通信系统,"shù jù chǔ lǐ, cún chǔ yǔ tōng xìn xì tǒng","Data Processing, Storage, and Communications Systems",ระบบประมวลผล จัดเก็บ และสื่อสารข้อมูล
桌面云,zhuō miàn yún,Desktop Cloud,เดสก์ท็อปคลาวด์ (desktop cloud)
分布运算,fēn bù yùn suàn,Distributed Computing,การประมวลผลแบบกระจาย
停机时间,tíng jī shí jiān,Downtime,เวลาที่ระบบหยุดทำงาน (downtime)
教育云,jiào yù yún,Education Cloud,คลาวด์เพื่อการศึกษา
高效,gāo xiào,Efficient,มีประสิทธิภาพ
设备资源,shè bèi zī yuán,Equipment Resources,ทรัพยากรอุปกรณ์
可扩展的,kě kuò zhǎn de,Expandable,สามารถขยายได้ (expandable)
基础理论,jī chǔ lǐ lùn,Fundamental Theory,ทฤษฎีพื้นฐาน
政府云,zhèng fǔ yún,Government Cloud,คลาวด์ภาครัฐ
整体化方法,zhěng tǐ huà fāng fǎ,Holistic Approach,แนวทางแบบองค์รวม
混合数据中心架构,hùn hé shù jù zhōng xīn jià gòu,Hybrid Data Center Architecture,สถาปัตยกรรม data center แบบไฮบริด
ICT设备,ICT shè bèi,ICT Equipment,อุปกรณ์ ICT
室内,shì nèi,Indoor,ภายในอาคาร
信息技术,xìn xī jì shù,Information Technology (IT),เทคโนโลยีสารสนเทศ (IT)
基础设施,jī chǔ shè shī,Infrastructure,โครงสร้างพื้นฐาน
基础设施层,jī chǔ shè shī céng,Infrastructure Layer,ชั้นโครงสร้างพื้นฐาน
机房内,jī fáng nèi,Inside Equipment Room,ภายในห้องเครื่อง
智能,zhì néng,Intelligent,อัจฉริยะ (smart/intelligent)
IT架构,IT jià gòu,IT Architecture,สถาปัตยกรรม IT
IT设施层,IT shè shī céng,IT Facility Layer,ชั้นสิ่งอำนวยความสะดวกด้าน IT
IT基础设施,IT jī chǔ shè shī,IT Infrastructure,โครงสร้างพื้นฐานด้าน IT
IT设备更新,IT shè bèi gēng xīn,IT Refresh,การอัปเกรดอุปกรณ์ IT (IT refresh)
IT需求,IT xū qiú,IT Requirements,ความต้องการด้าน IT
L1 基础设施层,L1 jī chǔ shè shī céng,L1 Infrastructure Layer (power/cooling/fire/water),ชั้น L1 โครงสร้างพื้นฐาน (ไฟฟ้า/ความเย็น/ดับเพลิง/น้ำ)
L2 IT设施层,L2 IT shè shī céng,L2 IT Facility Layer (server/storage/network),ชั้น L2 โครงสร้าง IT (server/storage/network)
L4 应用层,L4 yìng yòng céng,L4 Application Layer (desktop/education/government/learning cloud),ชั้น L4 แอปพลิเคชัน (desktop/education/government/learning cloud)
学习云,xué xí yún,Learning Cloud,คลาวด์เพื่อการเรียนรู้
生命周期成本,shēng mìng zhōu qī chéng běn,Lifecycle Cost,ต้นทุนตลอดวงจรชีวิต
全生命周期成本,quán shēng mìng zhōu qī chéng běn,Lifecycle Costs,ต้นทุนตลอดวงจรชีวิต
照明系统,zhào míng xì tǒng,Lighting System,ระบบไฟส่องสว่าง
关键任务,guān jiàn rèn wù,Mission Critical,งานที่มีความสำคัญสูงสุด (mission critical)
关键任务设施,guān jiàn rèn wù shè shī,Mission-Critical Installations,ระบบงานที่สำคัญยิ่งยวด (mission-critical)
模块化,mó kuài huà,Modular,แบบโมดูลาร์ (modular)
模块化组件,mó kuài huà zǔ jiàn,Modular Components,ชิ้นส่วนแบบโมดูลาร์
多租户数据中心,duō zū hù shù jù zhōng xīn,Multi-Tenant Data Center,ดาต้าเซ็นเตอร์แบบหลายผู้เช่า
网络,wǎng luò,Network,เครือข่าย (network)
操作系统层,cāo zuò xì tǒng céng,Operating System Layer,ชั้นระบบปฏิบัติการ (OS layer)
其他系统,qí tā xì tǒng,Other Systems,ระบบอื่น ๆ
停电/中断,tíng diàn / zhōng duàn,Outages,ไฟดับ / เหตุขัดข้อง
室外,shì wài,Outdoor,ภายนอกอาคาร
机房外,jī fáng wài,Outside Equipment Room,ภายนอกห้องเครื่อง
过度设计/超配,guò dù shè jì / chāo pèi,Oversizing,การออกแบบเผื่อเกินความจำเป็น (oversizing)
并行运算,bìng xíng yùn suàn,Parallel Computing,การประมวลผลแบบขนาน
人员,rén yuán,People,บุคลากร (people)
物理基础设施,wù lǐ jī chǔ shè shī,Physical Infrastructure,โครงสร้างพื้นฐานทางกายภาพ
