chinese,pinyin,english,thai
云数据中心,yún shù jù zhōng xīn,Cloud Data Center,คลาวด์ดาต้าเซ็นเตอร์ (cloud data center)
数据中心设计规范（GB 50174-2017）A/B/C级,shù jù zhōng xīn shè jì guī fàn A/B/C jí,Code for Design of Data Centers (GB 50174-2017) - Class A/B/C,มาตรฐานออกแบบดาต้าเซ็นเตอร์จีน (GB 50174-2017) ระดับ A/B/C
数据中心基础设施八大子系统,shù jù zhōng xīn jī chǔ shè shī bā dà zǐ xì tǒng,Eight Subsystems of Data Center Infrastructure,8 ระบบย่อยของโครงสร้างพื้นฐานดาต้าเซ็นเตอร์
互联网数据中心工程技术规范（GB 51195-2016）R1/R2/R3,hù lián wǎng shù jù zhōng xīn gōng chéng jì shù guī fàn R1/R2/R3,Engineering Technical Code for Internet Data Center (GB 51195-2016) - R1/R2/R3,มาตรฐานวิศวกรรม IDC จีน (GB 51195-2016) ระดับ R1/R2/R3
FusionDC1000A 小型室外预制一体化数据中心,FusionDC1000A xiǎo xíng shì wài yù zhì yī tǐ huà shù jù zhōng xīn,FusionDC1000A Small Outdoor Prefabricated Integrated Data Center,FusionDC1000A ดาต้าเซ็นเตอร์สำเร็จรูปติดตั้งกลางแจ้งขนาดเล็ก
FusionDC1000B 中大型室外预制模块化数据中心,FusionDC1000B zhōng dà xíng shì wài yù zhì mó kuài huà shù jù zhōng xīn,FusionDC1000B Medium-to-Large Outdoor Prefabricated Modular Data Center,FusionDC1000B ดาต้าเซ็นเตอร์โมดูลาร์สำเร็จรูปกลางแจ้งขนาดกลาง-ใหญ่
FusionModule2000 中小型数据中心,FusionModule2000 zhōng xiǎo xíng shù jù zhōng xīn,FusionModule2000 Small-to-Medium Data Center,FusionModule2000 ดาต้าเซ็นเตอร์ขนาดกลาง-เล็ก
FusionModule500 微型数据中心,FusionModule500 wēi xíng shù jù zhōng xīn,FusionModule500 Micro Data Center,FusionModule500 ไมโครดาต้าเซ็นเตอร์
FusionModule5000 中大型数据中心,FusionModule5000 zhōng dà xíng shù jù zhōng xīn,FusionModule5000 Medium-to-Large Data Center,FusionModule5000 ดาต้าเซ็นเตอร์ขนาดกลาง-ใหญ่
FusionModule800 小型数据中心,FusionModule800 xiǎo xíng shù jù zhōng xīn,FusionModule800 Small Data Center,FusionModule800 ดาต้าเซ็นเตอร์ขนาดเล็ก
数据中心设计规范（国标）,shù jù zhōng xīn shè jì guī fàn (guó biāo),GB50174-2017 (Chinese Data Center Design Code),มาตรฐานออกแบบดาต้าเซ็นเตอร์จีน GB50174-2017
玻璃隔断,bō li gé duàn,Glass Partition,ผนังกั้นกระจก
ISO/IEC 30134系列标准,ISO/IEC 30134 xì liè biāo zhǔn,ISO/IEC 30134 Series Standards,มาตรฐานชุด ISO/IEC 30134
模块化数据中心,mó kuài huà shù jù zhōng xīn,Modular Data Center,ดาต้าเซ็นเตอร์แบบโมดูลาร์ (modular)
TIA-942标准,TIA-942 biāo zhǔn,TIA-942 Telecommunications Infrastructure Standard for Data Centers,มาตรฐาน TIA-942
Tier I 基本数据中心基础设施,Tier I jī běn shù jù zhōng xīn jī chǔ shè shī,Tier I: Basic Data Center Site Infrastructure,Tier I: โครงสร้างพื้นฐานดาต้าเซ็นเตอร์แบบพื้นฐาน
Tier II 冗余的机房基础设施容量组件,Tier II róng yú de jī fáng jī chǔ shè shī róng liàng zǔ jiàn,Tier II: Redundant Site Infrastructure Capacity Components,Tier II: โครงสร้างพื้นฐานที่มีส่วนประกอบสำรอง (redundant)
Tier III 可并行维护的机房基础设施,Tier III kě bìng xíng wéi hù de jī fáng jī chǔ shè shī,Tier III: Concurrently Maintainable Site Infrastructure,Tier III: โครงสร้างพื้นฐานที่บำรุงรักษาได้พร้อมกันโดยไม่หยุดระบบ
Tier IV 容错机房基础设施,Tier IV róng cuò jī fáng jī chǔ shè shī,Tier IV: Fault Tolerant Site Infrastructure,Tier IV: โครงสร้างพื้นฐานแบบทนต่อความผิดพลาด (fault tolerant)
Uptime Tier标准,Uptime Tier biāo zhǔn,Uptime Institute Tier Standard,มาตรฐาน Uptime Tier
欧盟EN 50600系列标准,Ōuméng EN 50600 Xìliè Biāozhǔn,EU EN 50600 Series Standards,มาตรฐานยุโรป EN 50600
日本JDCC FS-001标准,Rìběn JDCC FS-001 Biāozhǔn,Japan JDCC FS-001 Standard,มาตรฐานญี่ปุ่น JDCC FS-001
IDC工程技术规范GB51195-2016,IDC Gōngchéng Jìshù Guīfàn GB51195-2016,IDC Engineering Technical Spec (GB51195-2016),ข้อกำหนดทางเทคนิควิศวกรรม IDC (GB51195-2016)
GB50174 A级(容错),GB50174 A Jí (Róngcuò),GB50174 Grade A (Fault-tolerant),GB50174 เกรด A (Fault-tolerant ทนความผิดพลาดได้)
GB50174 B级(冗余),GB50174 B Jí (Rǒngyú),GB50174 Grade B (Redundant),GB50174 เกรด B (มีระบบสำรอง Redundant)
GB50174 C级(基本),GB50174 C Jí (Jīběn),GB50174 Grade C (Basic),GB50174 เกรด C (มาตรฐานพื้นฐาน)
铅酸电池发明(1859年),Qiānsuān Diànchí Fāmíng (1859 Nián),Lead-Acid Battery Invented (1859),แบตเตอรี่ตะกั่วกรดถูกคิดค้นปี 1859
VRLA电池专利申请(1975年),VRLA Diànchí Zhuānlì Shēnqǐng (1975 Nián),VRLA Battery Patent Filed (1975),จดสิทธิบัตรแบตเตอรี่ VRLA ปี 1975
首款锂电池发布(1991年),Shǒukuǎn Lǐdiànchí Fābù (1991 Nián),First Lithium-Ion Battery Released (1991),แบตเตอรี่ลิเธียมไอออนรุ่นแรกเปิดตัวปี 1991
开利(Carrier)设计首套科学空调系统(1902年),Kǎilì (Carrier) Shèjì Shǒutào Kēxué Kōngtiáo Xìtǒng (1902 Nián),Carrier Designed First Scientific Air Conditioning System (1902),Carrier ออกแบบระบบแอร์เชิงวิทยาศาสตร์ระบบแรกปี 1902
开利(Carrier)发明首台离心式冷机(1922年),Kǎilì (Carrier) Fāmíng Shǒutái Líxīnshì Lěngjīzǔ (1922 Nián),Carrier Invented First Centrifugal Chiller (1922),Carrier คิดค้นเครื่องทำน้ำเย็นแบบเซนตริฟิวกัลเครื่องแรกปี 1922
浮充寿命对比(锂电池15年 vs 铅酸电池7年),Fúchōng Shòumìng Duìbǐ (Lǐdiànchí 15 Nián vs Qiānsuān 7 Nián),Float Life Comparison (Li-ion 15yr vs Lead-acid 7yr),อายุการใช้งานแบบ Float ลิเธียมไอออน 15 ปี เทียบตะกั่วกรด 7 ปี
能量密度对比(锂电池:铅酸=3:1),Néngliàng Mìdù Duìbǐ (Lǐdiànchí : Qiānsuān = 3:1),Energy Density Comparison (Li-ion:Lead-acid = 3:1),ความหนาแน่นพลังงาน ลิเธียมไอออนต่อตะกั่วกรด เท่ากับ 3 ต่อ 1
过滤器等级对比表(中国/美国/欧洲),Guòlǜqì Děngjí Duìbǐ Biǎo (Zhōngguó/Měiguó/Ōuzhōu),Filter Level Comparison Table (China/USA/Europe standards),ตารางเปรียบเทียบระดับฟิลเตอร์ (จีน สหรัฐฯ ยุโรป)
可感知电流(0.7-1.1毫安),Kě Gǎnzhī Diànliú (0.7-1.1 mA),Perceptible Current (0.7-1.1 mA),กระแสไฟฟ้าที่เริ่มรับรู้ได้ (0.7-1.1 มิลลิแอมป์)
安全电压标准(IEC 50V),Ānquán Diànyā Biāozhǔn (IEC 50V),Safety Voltage Standard (IEC 50V),มาตรฐานแรงดันไฟฟ้าปลอดภัย (IEC 50V)
"一级供电(年断电<=12次, 每次<=0.5小时)","Yī Jí Gōngdiàn (Niánduàndiàn <=12 Cì, Měicì <=0.5 Xiǎoshí)","Class 1 Power Supply Reliability (<=12 outages/yr, <=0.5h/outage)",ไฟฟ้าเกรด 1 (ไฟดับไม่เกิน 12 ครั้งต่อปี ครั้งละไม่เกิน 0.5 ชม.)
"二级供电(年断电<=42次, 每次<=6小时)","Èr Jí Gōngdiàn (Niánduàndiàn <=42 Cì, Měicì <=6 Xiǎoshí)","Class 2 Power Supply Reliability (<=42 outages/yr, <=6h/outage)",ไฟฟ้าเกรด 2 (ไฟดับไม่เกิน 42 ครั้งต่อปี ครั้งละไม่เกิน 6 ชม.)
"三级供电(年断电<=54次, 每次<=8小时)","Sān Jí Gōngdiàn (Niánduàndiàn <=54 Cì, Měicì <=8 Xiǎoshí)","Class 3 Power Supply Reliability (<=54 outages/yr, <=8h/outage)",ไฟฟ้าเกรด 3 (ไฟดับไม่เกิน 54 ครั้งต่อปี ครั้งละไม่เกิน 8 ชม.)
四级供电(季节性长时间停电/无市电),Sì Jí Gōngdiàn (Jìjié Xìng Chángshí Tíngdiàn Wú Shìdiàn),Class 4 Power Supply Reliability (seasonal long outages/no mains),ไฟฟ้าเกรด 4 (ไฟดับตามฤดูกาลเป็นเวลานาน หรือไม่มีไฟจากสายส่ง)
空气断路器ACB(200-6300A),Kōngqì Duàn Lù Qì ACB (200-6300A),ACB - Air Circuit Breaker (200-6300A),เซอร์กิตเบรกเกอร์แบบอากาศ ACB (200-6300 แอมป์)
塑壳断路器MCCB(40-630A),Sùxíng Ké Duàn Lù Qì MCCB (40-630A),MCCB - Molded Case Circuit Breaker (40-630A),เซอร์กิตเบรกเกอร์แบบเคสหล่อ MCCB (40-630 แอมป์)
小型断路器MCB(1-100A),Xiǎoxíng Duàn Lù Qì MCB (1-100A),MCB - Miniature Circuit Breaker (1-100A),เซอร์กิตเบรกเกอร์ขนาดเล็ก MCB (1-100 แอมป์)
静态转换开关STS(转换时间<=8毫秒),Jìngtài Zhuǎnhuàn Kāiguān STS (Zhuǎnhuàn Shíjiān <=8ms),STS - Static Transfer Switch (switch time <=8ms),สวิตช์เปลี่ยนถ่ายไฟฟ้าแบบสถิต STS (เวลาสลับ <=8 มิลลิวินาที)
自动转换开关ATS(转换时间>=100毫秒),Zìdòng Zhuǎnhuàn Kāiguān ATS (Zhuǎnhuàn Shíjiān >=100ms),ATS - Automatic Transfer Switch (switch time >=100ms),สวิตช์เปลี่ยนถ่ายไฟฟ้าอัตโนมัติ ATS (เวลาสลับ >=100 มิลลิวินาที)
UPS参数-输出功率因数(0.7-1),UPS Cānshù - Shūchū Gōnglǜ Yīnshù (0.7-1),UPS Parameter - Output Power Factor (0.7-1),พารามิเตอร์ UPS Power Factor ขาออก (0.7-1)
UPS5000-E一体化(50-125kVA),UPS5000-E Yītǐhuà (50-125kVA),UPS5000-E Integrated (50-125kVA),UPS5000-E แบบรวมตัว (50-125 กิโลโวลต์แอมป์)
UPS2000-G(1-20kVA),UPS2000-G (1-20kVA),UPS2000-G (1-20kVA),UPS2000-G (1-20 กิโลโวลต์แอมป์)
UPS场景-大型IDC(>=300kW),UPS Chǎngjǐng - Dàxíng IDC (>=300kW),UPS Scenario - Large IDC (>=300kW),สถานการณ์ใช้งาน UPS แบบ IDC ขนาดใหญ่ (>=300 กิโลวัตต์)
UPS场景-核心机房(60-200kW),UPS Chǎngjǐng - Héxīn Jīfáng (60-200kW),UPS Scenario - Core Equipment Room (60-200kW),สถานการณ์ใช้งาน UPS ห้องอุปกรณ์หลัก (60-200 กิโลวัตต์)
列间级精密空调等级(11-65kW),Lièjiān Jí Jīngmì Kōngtiáo Děngjí (11-65 kW),In-Row Precision Air Conditioner Tier (11-65 kW),เครื่องปรับอากาศแม่นยำระดับแถว (11-65 กิโลวัตต์)
房间级精密空调等级(45-260kW),Fángjiān Jí Jīngmì Kōngtiáo Děngjí (45-260 kW),In-Room Precision Air Conditioner Tier (45-260 kW),เครื่องปรับอากาศแม่นยำระดับห้อง (45-260 กิโลวัตต์)
间接蒸发冷却空调等级(220kW),Jiàn Jiē Zhēngfā Lěngquè Kōngtiáo Děngjí (220 kW),Indirect Evaporative Cooling Air Conditioner Tier (220 kW),เครื่องปรับอากาศระบบระเหยทางอ้อม (220 กิโลวัตต์)
GB50174-2017机房环境要求(按等级分温湿度),GB50174-2017 Jīfáng Huánjìng Yāoqiú (Àn Děngjí Fēn Wēnshī Dù),GB50174-2017 DC Environment Requirements (temp/humidity by grade),ข้อกำหนดสภาพแวดล้อมศูนย์ข้อมูล GB50174-2017 (อุณหภูมิ ความชื้น ตามเกรด)
"风冷直膨型详情(R410A/R407C/R22, <500kW)","Fēngléng Zhípéng Xíng Xiángqíng (R410A R407C R22, <500kW)","Air-Cooled Direct Expansion Detail (R410A/R407C/R22, <500kW)",รายละเอียดระบบขยายตัวโดยตรงระบายความร้อนด้วยอากาศ (R410A R407C R22 ต่ำกว่า 500 กิโลวัตต์)
-48V输出电压原理 (正极接地),-48V shū chū diàn yā yuán lǐ,-48V Output Voltage Rationale (positive-ground),หลักการแรงดันเอาต์พุต -48V (บวกต่อกราวด์)
6-GFM-100（命名示例）,6-GFM-100 (mìngmíng shìlì),6-GFM-100 (Naming Example),ตัวอย่างการตั้งชื่อรุ่นแบตเตอรี่ 6-GFM-100
6-Q-150（命名示例）,6-Q-150 (mìngmíng shìlì),6-Q-150 (Naming Example),ตัวอย่างการตั้งชื่อรุ่นแบตเตอรี่ 6-Q-150
实际容量,shíjì róngliàng,Actual Capacity,ความจุจริง (actual capacity)
AGM (吸附式玻璃纤维隔板) 电池,AGM diàn chí,AGM (Absorbed Glass Mat) Battery,แบตเตอรี่ AGM (Absorbed Glass Mat)
电池槽与电池盖（跨接槽）,diànchí cáo yǔ diànchí gài (kuàjiē cáo),Battery Container and Cover (Chute),ภาชนะและฝาแบตเตอรี่ (chute)
电池断电保护,diàn chí duàn diàn bǎo hù,Battery Disconnection Protection,การป้องกันด้วยการตัดวงจรแบตเตอรี่
电池负极板（铅）,diànchí fùjíbǎn (qiān),Battery Negative Plate (Pb),แผ่นขั้วลบแบตเตอรี่ (ตะกั่ว Pb)
恒流恒压两阶段充电法 (CC-CV),héngliú héngyā liǎng jiēduàn chōngdiàn fǎ,CC-CV Two-Stage Charging Method,วิธีชาร์จสองขั้นตอนแบบ CC-CV (กระแสคงที่-แรงดันคงที่)
直击雷,zhíjī léi,Direct Lightning Strike,ฟ้าผ่าโดยตรง (direct lightning strike)
放电率（如C10）,fàngdiàn lǜ (rú C10),Discharge Rate (e.g. C10),อัตราการคายประจุ เช่น C10
双硫酸盐化理论 (铅酸电池主反应),shuāng liú suān yán huà lǐ lùn,Double Sulfate Theory (Lead-acid Main Reaction),ทฤษฎีซัลเฟตคู่ (ปฏิกิริยาหลักของแบตเตอรี่ตะกั่วกรด)
双硫酸盐化理论（铅酸反应）,shuāng liúsuānyán huà lǐlùn (qiānsuān fǎnyìng),Double-Sulphate Theory (Lead-Acid Reaction),ทฤษฎีการเกิดซัลเฟตสองขั้ว (double-sulphate theory) ของปฏิกิริยาแบตเตอรี่ตะกั่วกรด
配电保护单元 (DPT),pèi diàn bǎo hù dān yuán,DPT (Distribution/Protection Component),หน่วยจ่ายไฟและป้องกัน (DPT)
应急柜,yìng jí guì,Emergency Cabinet,ตู้ฉุกเฉิน (emergency cabinet)
放电终止电压,fàngdiàn zhōngzhǐ diànyā,End-of-Discharge (EOD) Voltage,แรงดันไฟฟ้า ณ จุดสิ้นสุดการคายประจุ (EOD voltage)
企业机房,qǐ yè jī fáng,Enterprise Computer Room (UPS application scenario),ห้องเซิร์ฟเวอร์ขององค์กร (สถานการณ์ใช้งาน UPS)
放电终止电压 (EODV),fàng diàn zhōng zhǐ diàn yā,EODV (End of Discharge Voltage),แรงดันสิ้นสุดการคายประจุ (EODV)
均衡充电,jūnhéng chōngdiàn,Equalized Charging,การชาร์จแบบปรับสมดุล (equalizing charge)
工厂生产线,gōng chǎng shēng chǎn xiàn,Factory Production Line (UPS application scenario),สายการผลิตในโรงงาน (สถานการณ์ใช้งาน UPS)
浮充充电,fúchōng chōngdiàn,Float Charging,การชาร์จแบบลอย (float charge)
占地面积与承重能力对比,zhàndì miànjī yǔ chéngzhòng nénglì duìbǐ,Footprint and Bearing Capacity Comparison,การเปรียบเทียบพื้นที่ติดตั้งและความสามารถรับน้ำหนัก
FusionPower系列,FusionPower xìliè,FusionPower Series,ผลิตภัณฑ์ตระกูล FusionPower
FusionPower5000,FusionPower5000,FusionPower5000,ผลิตภัณฑ์ FusionPower5000 (ระบบไฟฟ้ารวม Huawei)
胶体电池发明（1957年）,jiāotǐ diànchí fāmíng (yījiǔwǔqī nián),Gel Battery Invented (1957),แบตเตอรี่เจล (gel battery) ถูกคิดค้นในปี 1957
GFM-1000（命名示例）,GFM-1000 (mìngmíng shìlì),GFM-1000 (Naming Example),ตัวอย่างการตั้งชื่อรุ่นแบตเตอรี่ GFM-1000
接地系统基本概念,jiē dì xì tǒng jī běn gài niàn,Grounding System Concept,แนวคิดพื้นฐานของระบบกราวด์
接地系统概述,jiē dì xì tǒng gài shù,Grounding System Overview,ภาพรวมระบบกราวด์ (grounding system)
华为FusionPower,Huáwéi FusionPower,Huawei FusionPower,ผลิตภัณฑ์ Huawei FusionPower (ระบบไฟฟ้ารวมศูนย์)
iBattery智能电池管理,iBattery zhì néng diàn chí guǎn lǐ,iBattery (Intelligent Battery Monitoring),ระบบตรวจสอบแบตเตอรี่อัจฉริยะ iBattery
IEC低压接地系统分类 (TN/TT/IT),IEC dī yā jiē dì xì tǒng fēn lèi,IEC Low-Voltage Grounding System Classification (TN/TT/IT),การจำแนกระบบกราวด์แรงดันต่ำตาม IEC (TN/TT/IT)
感应雷,gǎnyìng léi,Induction Lightning Strike,ฟ้าผ่าเหนี่ยวนำ (induction/indirect lightning strike)
大中型UPS5000-A解决方案,dà zhōng xíng UPS5000-A jiě jué fāng àn,L and M-sized UPS5000-A Solution,โซลูชัน UPS5000-A สำหรับขนาด L และ M
铅酸电池充放电电压曲线,qiān suān diàn chí chōng fàng diàn diàn yā qū xiàn,Lead-acid Charge/Discharge Voltage Curve,กราฟแรงดันไฟฟ้าขณะชาร์จ/คายประจุของแบตเตอรี่ตะกั่วกรด
铅酸电池副反应 (析氢/析氧),qiān suān diàn chí fù fǎn yìng,Lead-acid Side Reaction (H2/O2 evolution),ปฏิกิริยาข้างเคียงของแบตเตอรี่ตะกั่วกรด (การเกิดแก๊ส H2/O2)
磷酸铁锂材料商业化应用（2004年）,línsuān tiělǐ cáiliào shāngyèhuà yìngyòng (èrlínglíngsì nián),LFP Materials Commercial Application (2004),วัสดุ LFP (lithium iron phosphate) เริ่มใช้ในเชิงพาณิชย์ปี 2004
锂离子电池外壳,lǐ lízǐ diànchí wàiké,Li-ion Battery Shell,เปลือกภายนอกแบตเตอรี่ลิเทียมไอออน (battery shell)
锂离子电池正极结构,lǐ lízǐ diànchí zhèngjí jiégòu,Li-ion Positive Electrode Structure,โครงสร้างขั้วบวกแบตเตอรี่ลิเทียมไอออน
锂离子电池结构 - 外壳 (铝箔/钢壳/铝壳),lǐ lí zǐ diàn chí jié gòu - wài ké,Li-ion Structure - Case (Al foil/steel/Al shell),โครงสร้างแบตเตอรี่ลิเธียมไอออน - เปลือกนอก (ฟอยล์อะลูมิเนียม/เหล็ก/อะลูมิเนียม)
锂离子电池工作原理 (锂离子嵌入/脱嵌),lǐ lí zǐ diàn chí gōng zuò yuán lǐ,Li-ion Working Principle (Li+ intercalation/deintercalation),หลักการทำงานของแบตเตอรี่ลิเธียมไอออน (การแทรก/ถอนไอออนลิเธียม)
避雷针/接闪器,bìléizhēn / jiēshǎnqì,Lightning Arrester,สายล่อฟ้า/ตัวรับฟ้าผ่า (lightning arrester)
防雷/接地子系统,fáng léi / jiē dì zǐ xì tǒng,Lightning Protection/Grounding Subsystem,ระบบย่อยป้องกันฟ้าผ่าและสายดิน
钴酸锂 (LCO),gǔsuānlǐ,Lithium Cobalt Oxide (LCO),ลิเทียมโคบอลต์ออกไซด์ (LCO)
磷酸铁锂 (LFP),línsuān tiělǐ,Lithium Iron Phosphate (LFP),ลิเทียมไอรอนฟอสเฟต (LFP)
锰酸锂 (LMO),měngsuānlǐ,Lithium Manganese Oxide (LMO),ลิเทียมแมงกานีสออกไซด์ (LMO)
镍酸锂 (LNO),niésuānlǐ,Lithium Nickel Oxide (LNO),ลิเทียมนิกเกิลออกไซด์ (LNO)
聚合物锂电池推出（1994年）,jùhéwù lǐ diànchí tuīchū (yījiǔjiǔsì nián),Lithium Polymer Battery Launched (1994),แบตเตอรี่ลิเทียมโพลิเมอร์เปิดตัวในปี 1994
MCB脱扣特性B级 (3-5In),MCB tuō kòu tè xìng B jí,MCB Trip Characteristic B (3-5 In),คุณสมบัติการตัดวงจร MCB ชนิด B (3-5 เท่าของ In)
MCB脱扣特性C级 (5-10In，适用ICT负载),MCB tuō kòu tè xìng C jí,"MCB Trip Characteristic C (5-10 In, ICT loads)",คุณสมบัติการตัดวงจร MCB ชนิด C (5-10 เท่าของ In เหมาะกับโหลด ICT)
MCB脱扣特性D级 (10-20In),MCB tuō kòu tè xìng D jí,MCB Trip Characteristic D (10-20 In),คุณสมบัติการตัดวงจร MCB ชนิด D (10-20 เท่าของ In)
MCB脱扣特性K级 (8-15In),MCB tuō kòu tè xìng K jí,MCB Trip Characteristic K (8-15 In),คุณสมบัติการตัดวงจร MCB ชนิด K (8-15 เท่าของ In)
MCB脱扣特性Z级 (2-3In),MCB tuō kòu tè xìng Z jí,MCB Trip Characteristic Z (2-3 In),คุณสมบัติการตัดวงจร MCB ชนิด Z (2-3 เท่าของ In)
C型断路器脱扣特性,C xíng duàn lù qì tuō kòu tè xìng,MCB Tripping Characteristic C,คุณสมบัติการตัดวงจรของ MCB แบบ C
三元材料/镍钴铝酸锂 (NCM/NCA),sānyuán cáiliào,NCM/NCA (Lithium Nickel Manganese/Cobalt Aluminum Oxide),วัสดุสามธาตุ NCM/NCA (นิกเกิล-โคบอลต์-แมงกานีส/อะลูมิเนียม)
办公室,bàn gōng shì,Office (UPS application scenario),สำนักงาน (สถานการณ์ใช้งาน UPS)
开路电压,kāi lù diàn yā,Open Circuit Voltage,แรงดันไฟฟ้าวงจรเปิด (open circuit voltage)
PDU8000,PDU8000,"PDU8000 (Power Distribution Unit, not a Huawei UPS product)",PDU8000 (หน่วยจ่ายไฟ PDU ไม่ใช่ผลิตภัณฑ์ UPS ของ Huawei)
精密列头柜PDM,jīngmì liètóuguì PDM,Precision Row-Head Cabinet (PDM),ตู้ row head cabinet แบบ precision (PDM)
-48V负极性原因,fù sìshíbā fú fùjíxìng yuányīn,Reason for -48V Negative Polarity,เหตุผลที่ระบบไฟ DC โทรคมนาคมใช้ขั้วลบ -48V
整流器主要参数 (输入/输出),zhěng liú qì zhǔ yào cān shù,Rectifier Main Parameters (Input/Output),พารามิเตอร์หลักของเครื่องเรียงกระแส (อินพุต/เอาต์พุต)
整流模块,zhěng liú mó kuài,Rectifier Module,โมดูลเรียงกระแส (rectifier module)
贫液式电池,pínyèshì diànchí,Starved-Electrolyte Battery,แบตเตอรี่แบบอิเล็กโทรไลต์น้อย (starved-electrolyte battery)
电池型号代码D - 牵引型,diàn chí xíng hào dài mǎ D,Type Code D - Traction Use,รหัสประเภทแบตเตอรี่ D - ใช้ลากจูง
电池型号代码F - 阀控型,diàn chí xíng hào dài mǎ F,Type Code F - Valve Regulated,รหัสประเภทแบตเตอรี่ F - ชนิดควบคุมด้วยวาล์ว
电池型号代码G - 固定型,diàn chí xíng hào dài mǎ G,Type Code G - Fixed Type,รหัสประเภทแบตเตอรี่ G - แบบติดตั้งถาวร
电池型号代码Q - 起动型,diàn chí xíng hào dài mǎ Q,Type Code Q - Starting Use,รหัสประเภทแบตเตอรี่ Q - ใช้สตาร์ท
UPS2000系列全景图,UPS2000 xìliè quánjǐngtú,UPS2000 (Panorama/Overview),ภาพรวมผลิตภัณฑ์ตระกูล UPS2000
UPS2000-A/G系列,UPS2000-A/G xìliè,UPS2000-A/G Series,UPS ตระกูล UPS2000-A/G
UPS2000A,UPS2000A,UPS2000A (Huawei UPS product),UPS2000A (ผลิตภัณฑ์ UPS ของ Huawei)
UPS2000G,UPS2000G,UPS2000G (Huawei UPS product),UPS2000G (ผลิตภัณฑ์ UPS ของ Huawei)
UPS5000系列全景图,UPS5000 xìliè quánjǐngtú,UPS5000 (Panorama/Overview),ภาพรวมผลิตภัณฑ์ตระกูล UPS5000
UPS5000-A系列,UPS5000-A xìliè,UPS5000-A Series,UPS ตระกูล UPS5000-A
UPS5000-E/S系列,UPS5000-E/S xìliè,UPS5000-E/S Series,UPS ตระกูล UPS5000-E/S
UPS5000E,UPS5000E,UPS5000E (Huawei UPS product),UPS5000E (ผลิตภัณฑ์ UPS ของ Huawei)
空调风系统功能 (风机/风管/出风口/风阀),kōng tiáo fēng xì tǒng gōng néng,"AC Air System Function (fan, duct, outlet, damper)",หน้าที่ของระบบลมเครื่องปรับอากาศ (พัดลม ท่อลม ช่องลมออก แดมเปอร์)
空调按集中程度分类 (集中式/半集中式/分散式),kōng tiáo àn jí zhōng chéng dù fēn lèi,AC Classification by Centralization (Central/Semi/Distributed),การจำแนกเครื่องปรับอากาศตามระดับการรวมศูนย์ (รวมศูนย์/กึ่งรวมศูนย์/กระจาย)
空调按末端布局分类 (房间级/行级/机柜级),kōng tiáo àn mò duān bù jú fēn lèi,AC Classification by Terminal Layout (Room/Row/Rack),การจำแนกเครื่องปรับอากาศตามตำแหน่งติดตั้งปลายทาง (ห้อง/แถว/ตู้แร็ค)
空调按用途分类 (工艺性/舒适性),kōng tiáo àn yòng tú fēn lèi,AC Classification by Use (Process/Comfort),การจำแนกเครื่องปรับอากาศตามการใช้งาน (อุตสาหกรรม/เพื่อความสบาย)
精密空调相对舒适性空调的优点,jīng mì kōng tiáo xiāng duì shū shì xìng kōng tiáo de yōu diǎn,"Advantages of Precision AC over Comfort AC (large airflow, large enthalpy difference, high temp/humidity control precision)","ข้อดีของเครื่องปรับอากาศ precision เทียบกับเครื่องปรับอากาศทั่วไป (ลมแรง, ผลต่าง enthalpy สูง, ควบคุมอุณหภูมิ/ความชื้นแม่นยำสูง)"
空调发展历史,kōng tiáo fā zhǎn lì shǐ,Air Conditioning Development History,ประวัติการพัฒนาเครื่องปรับอากาศ
散流器,sànliúqì,Air Diffuser,หัวจ่ายลม (air diffuser)
空气压力术语 (静压/动压/全压),kōng qì yā lì shù yǔ,Air Pressure Term (Static/Dynamic/Total),คำศัพท์ความดันอากาศ (ความดันสถิต/พลศาสตร์/รวม)
背板热管空调,bèibǎn règuǎn kōngtiáo,Backplane Heat Pipe Air Conditioner,เครื่องปรับอากาศแบบท่อความร้อนติดผนังหลังตู้แร็ค (backplane heat pipe AC)
毛细管,máo xì guǎn,Capillary Tube,ท่อคาปิลลารี (capillary tube)
开利建立首个空调实验室（1901年）,Kāilì jiànlì shǒu gè kōngtiáo shíyànshì (yījiǔlíngyī nián),Carrier Established First AC Test Lab (1901),Carrier ก่อตั้งห้องปฏิบัติการทดสอบเครื่องปรับอากาศแห่งแรกในปี 1901
冷冻水空调循环 (冷水机+风机盘管),lěng dòng shuǐ kōng tiáo xún huán,Chilled-water AC Cycle (chiller + fan coil unit),วงจรระบบปรับอากาศแบบ chilled water (เครื่องทำน้ำเย็น + fan coil)
洁净度/空气颗粒物标准,jié jìng dù / kōng qì kē lì wù biāo zhǔn,Cleanliness/Air Particulate Standard,มาตรฐานความสะอาด/อนุภาคในอากาศ
粗效过滤器 (G3/G4),cū xiào guò lǜ qì,Coarse Filter (G3/G4),แผ่นกรองหยาบ (G3/G4)
舒适性空调,shūshìxìng kōngtiáo,Comfort Air Conditioner,เครื่องปรับอากาศเพื่อความสบาย (comfort air conditioner)
机房空调（CRAC）在中国出现（1980年）,jīfáng kōngtiáo zài Zhōngguó chūxiàn (yījiǔbālíng nián),CRAC Appeared in China (1980),CRAC (เครื่องปรับอากาศห้องคอมพิวเตอร์) เริ่มมีในจีนปี 1980
露点,lùdiǎn,Dew Point,จุดน้ำค้าง (dew point)
